id	filename	md5	size	state
52497e57-7ec6-451e-85ae-49463e3bfb92	26af153d-84b6-4737-93d3-5da95cae3855_wxs_gdc_realn.bam	5699d1e956a583afa2a3c467a212e8dd	29945592673	validated
5c5aa560-7dc3-4e15-9f7a-cab4cb64feff	967e4715-9ff0-4f2a-b85e-d1fc3f4a3d1f_wxs_gdc_realn.bam	c95d98dee95b440ab2f67f2d33f82578	15244664980	validated
53984642-d431-490e-8a8a-c59b872ace66	02e65074-ffda-4795-b8f5-1bfd20bd1019_wxs_gdc_realn.bam	abe8cbbd69ce91aea4f35e405c098e6f	28048377445	validated
5cf03c2e-a6c0-4154-a600-69d9a23cc894	91bb4069-0288-4eb2-b129-a8849b2cf67b_wxs_gdc_realn.bam	7d0e4ee60c6ea7858da141fe04a4925a	40412900395	validated
35d3bd81-1106-4ff2-87a5-7f21ebfcb460	db1e9da9-88a5-4310-b70d-5178b939f313_wxs_gdc_realn.bam	c98ff0eb5eb3985197b5a67ce1fee833	15101870279	validated
e778bf65-8248-41e9-b786-2b33227cf253	a99ee1e9-1ef1-47ce-baec-3e785a7c4752_wxs_gdc_realn.bam	61a4dbc30a251ef1905e4974329707bb	38350710935	validated
6dbac834-3e5e-4e30-8aee-a4b1d72098d9	31bc44b9-35ff-43fd-8a01-a834f3b1ce46_wxs_gdc_realn.bam	8146689bbe9091b55f4516900c5513ed	33612710893	validated
532ccc3f-0ca4-4a95-bfd5-8175093d15f5	84f9093f-dec5-4cfc-8b59-6fcfbfa9be1c_wxs_gdc_realn.bam	ed4eae92dbb872b6a00bc12b86dfe479	17555863906	validated
ecd6d552-919b-4d16-80c3-a08ebbdc6396	bd258332-f1bb-47a9-91fd-93df87c84eb6_wxs_gdc_realn.bam	786c6d331cf3eea08bc8f4bc9093df8d	27196384267	validated
81fa4109-acff-4e47-9bc5-e79f4d1330ef	67a2d497-587f-40f3-affd-2b3968282e03_wxs_gdc_realn.bam	81ffa992e0553e521906ba67f5e8db42	14975353923	validated
81f0c11d-3e26-4a9b-9e6d-05b922f197d9	f9bd4d83-343c-4f31-a60c-9211cd4eae38_wxs_gdc_realn.bam	0dd934059116ad9c717fd7a937561b0d	12094481511	validated
